idx,kind,pca_pre_x,pca_pre_y,pca_rnd_x,pca_rnd_y,tsne_pre_x,tsne_pre_y,tsne_rnd_x,tsne_rnd_y
165,periodic,-0.9338088,3.7766683,-8.992115,5.5982723,-7.5820465,17.68772,-10.932128,7.129222
166,periodic,7.2241125,-3.3076303,-8.180743,7.378773,34.328243,-10.309095,-3.4805527,2.3121462
167,periodic,-2.5705569,1.410721,8.343151,0.72901434,-4.334538,13.091703,8.496328,7.6174145
168,periodic,-1.9150598,2.7393274,-11.163293,-2.6132119,-18.486479,5.9354534,-12.139207,-4.223214
169,periodic,-1.2468566,4.0321064,-33.024227,0.16147736,-11.478431,18.85062,-19.279196,4.209842
170,periodic,8.91959,-1.5962561,-3.0458598,2.9513597,35.52765,-7.9836144,-2.07825,4.041837
171,periodic,7.767725,-2.4356806,16.021227,10.911544,27.373972,-5.3705297,22.248112,10.4550705
172,periodic,-0.43292528,3.6975455,6.4729667,6.455271,-14.7600765,16.118675,11.728563,6.9501743
173,periodic,-0.2674374,5.009676,2.3325236,3.9119718,-11.993661,16.388632,0.7329328,18.534575
174,periodic,8.0549555,-1.9257828,13.594384,12.214451,28.399727,-4.354718,27.72476,7.806922
175,periodic,8.285364,-2.3082576,27.006794,10.273819,34.845554,-8.310049,21.57094,12.620248
176,periodic,7.4004593,-3.696651,-2.2073054,1.8652284,33.154663,-9.851076,21.64115,-3.8755255
177,periodic,-3.206147,0.3010411,4.5109525,-4.231362,-22.148874,0.5183508,5.447017,-4.7317457
178,periodic,7.0728493,-2.9740841,-25.4567,9.053586,26.741829,-6.5528665,-20.303793,7.4669685
179,periodic,-1.5776592,3.7047534,-11.730504,3.666412,-11.253506,18.701218,-12.697585,9.220939
180,local,1.9571137,4.7384286,-6.1158013,5.3504505,-14.393051,11.269193,-5.6331773,14.297852
181,local,8.815397,-0.027783392,10.097158,9.634475,30.778803,-1.7684101,17.507874,8.829832
182,local,8.184967,-1.4804536,25.283918,10.236439,29.43788,-5.569542,19.023062,14.142144
183,local,9.424919,-0.18690623,21.114082,14.27968,31.761362,-2.6295338,22.24873,12.507233
184,local,0.42279795,2.6061666,-9.494195,0.8719197,-12.228229,10.451659,-9.943042,5.7107487
185,local,8.719112,-1.3304617,10.45792,11.125686,35.66479,-6.4076223,20.513512,5.579918
186,local,7.684763,-1.4388533,-19.43534,6.3443036,29.172043,-3.9718156,-23.454145,5.175963
187,local,0.1392351,3.3349214,-9.216569,6.5133567,-13.678074,12.68214,-9.003191,8.090847
188,local,-0.21118468,3.7285616,11.045791,7.0611615,-10.274219,11.820657,16.273079,8.579832
189,local,-0.42352682,4.129404,-4.976541,2.7410488,-11.392419,12.968632,-3.7305837,7.323873
190,local,8.211648,-1.292913,6.945746,14.866021,31.636261,-4.6321545,22.84332,7.5194983
191,local,8.139294,-1.2301507,-9.665503,13.62274,31.066015,-4.897256,26.88265,-0.47771358
192,local,9.861923,-0.09504925,10.339152,17.130877,33.92712,-3.020793,22.859903,8.124028
193,local,9.704318,-0.99670637,6.617069,9.197918,35.307446,-5.92728,18.670328,3.303794
194,local,7.058501,-2.437215,-18.469763,7.7689447,28.072395,-6.693106,-19.569347,8.057973
195,local,7.988274,-1.0249134,-15.247946,11.853337,32.241707,-4.727183,-25.086359,6.2706656
196,local,8.625042,-0.974508,-2.691346,12.835528,30.346478,-3.244565,25.374456,2.5826187
197,local,7.4248667,-2.9519823,-4.1005406,7.596515,32.947903,-7.9915667,22.927893,-1.4839978
198,local,7.2771883,-2.8726676,-26.862549,10.013134,29.617037,-7.0345016,-21.903135,7.1882534
199,local,7.9773912,-1.9709044,-1.3317554,10.38379,30.023163,-7.2110367,27.548754,1.2857805
200,local,8.327775,-2.4808276,9.278102,3.5902708,33.940166,-7.7371416,15.969169,4.896679
201,local,9.849413,0.17088756,22.38067,14.7328205,31.894295,-2.0457242,23.850693,11.470932
202,local,-1.924662,1.8551368,0.8407336,5.6937785,-17.590834,4.144138,5.957645,4.3613462
203,local,9.10532,0.39515293,10.699669,13.779116,32.60053,-3.3818014,25.156326,9.432898
204,local,8.116936,-1.8463427,-0.12076509,11.325223,29.863771,-4.364605,27.442362,2.7785933
205,local,7.0525026,-2.0963778,-12.700716,7.9020724,27.82116,-6.739958,-16.63147,8.924999
206,local,8.377053,-0.50512844,-8.840312,8.346679,32.585186,-4.611029,26.553797,-2.3414843
207,local,7.0029545,-2.4046214,-20.692436,9.044162,27.747543,-6.7759886,-20.472925,8.247313
208,local,8.203677,-1.3189212,-21.974962,9.732282,29.007607,-3.434277,-24.528149,4.960798
209,local,-1.3828783,1.3816627,-7.7136674,-3.1086428,-3.3019667,13.528086,-9.394514,4.127766
210,local,9.235377,-0.13108036,-2.8242247,11.838451,32.9241,-2.5501947,23.816635,1.2396699
211,local,0.4036309,5.392681,22.204235,5.3630896,-11.986399,11.624996,16.523718,16.564701
212,local,8.221524,-0.25640592,-8.542352,6.359634,30.51834,-1.5905855,-13.159451,7.596094
213,local,1.645787,4.6753883,19.275608,4.9810843,-14.142778,11.613152,14.234841,14.322227
214,local,-0.9747187,4.0772905,1.7650219,2.21102,-8.753634,14.854907,3.3413079,11.75809
215,local,1.1748366,4.45799,-7.944648,6.974883,-12.890269,12.25092,-10.031898,8.631982
216,local,0.41679648,3.167763,-5.450215,-0.14769524,-15.603175,6.4765234,-8.057745,0.50366443
217,local,7.720059,-2.0958202,11.951739,8.851033,33.251125,-7.7608156,19.68571,5.326793
218,local,0.12667663,3.110565,-8.569205,-1.0700231,-15.70624,6.694728,-9.050113,-4.136104
219,local,-1.5519353,1.7362946,-15.040585,-3.5874946,-17.290115,4.3359556,-13.124638,-2.671572
220,local,-0.8033354,2.9170613,5.369204,-1.0371053,-9.5374775,13.506859,3.31703,8.649953
221,local,8.15705,-1.9814702,13.87949,15.205092,30.286884,-5.094648,26.545908,9.353406
222,local,8.853049,-0.14693545,9.688667,10.15364,33.331097,-4.0486627,26.280607,7.1822896
223,local,-0.8580951,3.450269,-1.6086421,-2.2127578,-9.768412,13.633921,0.7476588,8.452471
224,local,-2.257983,-0.20672064,23.080801,-2.817076,-18.74153,-3.0656977,13.19705,-9.301233
225,local,0.6871664,3.1152706,-9.866048,-0.105235755,-14.9044485,6.572802,-8.503534,-3.5128706
226,local,0.02068113,4.261177,-8.737964,2.5073307,-11.352743,12.521682,-12.648505,5.8376617
227,local,7.861014,-1.5327729,16.065233,13.006002,30.1289,-4.1890593,25.667543,7.4911127
228,local,8.333731,-0.91095775,6.1741953,14.37296,30.17093,-3.316976,24.119188,5.529884
229,local,7.3452015,-2.0799794,15.584173,12.953837,29.425919,-6.556369,24.2406,8.148692
230,local,1.2298435,3.1706588,-15.808857,4.2264175,-13.947669,12.442464,-16.64728,4.6596937
231,local,8.790895,-0.8536389,-7.2823906,14.445159,30.31126,-3.1313593,25.40463,1.0906303
232,local,-1.8980702,2.50227,3.9530866,8.586108,-8.086231,14.641267,5.534679,5.7258267
233,local,0.8649745,3.5516386,-3.9076788,5.532283,-13.710413,12.887401,-7.5453334,7.2496743
234,local,9.119582,-0.88945615,-5.3680463,8.58375,35.312572,-4.928097,20.907312,-0.7973674
235,local,0.51747495,5.2012014,-0.9305301,-0.59499353,-11.439729,12.229828,-5.052073,20.627932
236,local,-0.9470045,1.9235301,1.185515,-8.299544,-17.808283,2.678063,-0.67145044,-8.909537
237,local,-1.1261649,1.4244113,-4.09603,-0.1140915,-2.5294666,13.549682,-8.871109,4.100918
238,local,8.361777,-1.5118108,20.171465,13.181625,29.741922,-5.757763,26.161917,10.871019
239,local,-0.95948607,1.396026,-1.1993159,-2.8774505,-18.47074,1.8458086,1.3737632,-1.8576944
240,local,0.41237634,2.4934924,-4.487341,1.9485484,-14.441217,12.979528,-7.9239497,3.6028063
241,local,-1.5028943,1.5763232,-9.854509,-8.125052,-15.93988,2.7201679,-9.512718,-5.5674214
242,local,7.125975,-2.087585,0.3673431,15.125624,30.683435,-5.9011226,25.684488,3.5737944
243,local,1.6724788,4.459173,-19.461746,6.494111,-14.514371,11.670725,-21.894342,2.3369687
244,local,-1.2406248,2.9264812,6.6428003,-0.05438514,-17.414528,5.143303,6.902719,-3.085475
245,local,8.725769,-0.49605396,9.326276,9.7357855,30.45327,-2.11137,21.553844,8.827059
246,local,-0.5039331,3.4657135,11.524581,-3.8769472,-9.839886,13.4098625,10.84068,14.52259
247,local,7.378339,-2.109242,-27.409185,5.6436434,28.305538,-6.7042933,-20.828045,5.9944844
248,local,-1.7485154,4.263331,4.689133,1.0265186,-8.968818,15.644571,10.197693,5.0603313
249,local,8.867919,-1.4440682,-11.914483,9.634844,34.237732,-6.747157,-3.9666758,2.1373277
250,local,9.776973,-1.4905978,-8.216046,5.798918,34.82438,-5.898309,-3.4310453,4.3312845
251,local,-2.216245,0.44379795,-0.6592725,-5.684595,-18.404228,1.8633584,-1.613218,-4.94478
252,local,9.576381,0.18627039,-19.512579,9.474117,33.142548,-2.7044752,-22.732697,5.1780415
253,local,-0.28405154,3.2974577,8.063314,-1.793433,-16.934261,6.6939526,9.5187235,3.0954728
254,local,9.459588,-0.4801081,2.9724662,9.994205,34.949223,-4.6921616,20.16217,2.0980217
255,local,-0.92633086,4.1484385,11.374113,8.015767,-9.777274,14.892699,13.554462,9.310729
256,local,8.795418,-0.7931432,-0.33953398,14.723211,31.402603,-3.8603113,28.512552,1.9824048
257,local,0.73896855,4.0373535,-10.616584,6.7532945,-13.494785,12.494593,-10.588558,9.986248
258,local,8.76147,-0.64283174,13.034761,15.7971945,32.74787,-3.8974268,23.954115,9.611535
259,local,9.942176,0.5555826,28.726984,11.553857,32.641727,-1.7943742,19.913471,14.6269655
260,local,7.552307,-2.7463536,-4.4995522,4.7233553,32.912292,-7.7727375,21.236624,-3.1424747
