model,task,metric,layer,init,n_seeds,pre_mean,rnd_mean,mean,delta,ci_lo,ci_hi,q_value,per_seed_delta
olmo2_13b,P8_anomaly_location,macro_f1,L1,pretrained_minus_random,3,0.1779,0.2122,0.1779,-0.0343,-0.0642,-0.0078,,s7:-0.008;s17:-0.064;s27:-0.031
olmo2_13b,P9_changepoint_present,balanced_accuracy,L1,pretrained_minus_random,3,0.9401,0.9544,0.9401,-0.0143,-0.0234,-0.0039,,s7:-0.016;s17:-0.023;s27:-0.004
olmo2_13b,P9_changepoint_present,macro_f1,L1,pretrained_minus_random,3,0.9399,0.9543,0.9399,-0.0144,-0.0236,-0.0039,,s7:-0.016;s17:-0.024;s27:-0.004
olmo2_13b,P10_changepoint_location,balanced_accuracy,p25,pretrained_minus_random,3,0.3735,0.3517,0.3735,0.0218,-0.0302,0.0696,,s7:-0.030;s17:+0.026;s27:+0.070
olmo2_13b,P10_changepoint_location,macro_f1,p25,pretrained_minus_random,3,0.3491,0.3331,0.3491,0.0161,-0.0465,0.0811,,s7:-0.046;s17:+0.014;s27:+0.081
olmo2_13b,P1_trend_direction,balanced_accuracy,p25,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
olmo2_13b,P1_trend_direction,macro_f1,p25,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
olmo2_13b,P2_trend_strength,balanced_accuracy,p25,pretrained_minus_random,3,0.3615,0.3542,0.3615,0.0073,-0.0251,0.0277,,s7:-0.025;s17:+0.028;s27:+0.019
olmo2_13b,P2_trend_strength,macro_f1,p25,pretrained_minus_random,3,0.3545,0.3454,0.3545,0.0091,-0.0303,0.0349,,s7:-0.030;s17:+0.023;s27:+0.035
olmo2_13b,P2b_trend_strength_reg,r2,p25,pretrained_minus_random,3,-0.0384,-0.4608,-0.0384,0.4224,0.2534,0.5952,,s7:+0.419;s17:+0.253;s27:+0.595
olmo2_13b,P2b_trend_strength_reg,nmae,p25,pretrained_minus_random,3,0.8146,0.9874,0.8146,-0.1727,-0.2348,-0.1258,,s7:-0.158;s17:-0.126;s27:-0.235
olmo2_13b,P3_periodicity_present,balanced_accuracy,p25,pretrained_minus_random,3,0.9847,0.9833,0.9847,0.0014,-0.0146,0.0104,,s7:-0.015;s17:+0.010;s27:+0.008
olmo2_13b,P3_periodicity_present,macro_f1,p25,pretrained_minus_random,3,0.9863,0.9823,0.9863,0.004,-0.0097,0.0124,,s7:-0.010;s17:+0.012;s27:+0.009
olmo2_13b,P4_dominant_period,balanced_accuracy,p25,pretrained_minus_random,3,0.8108,0.3779,0.8108,0.4329,0.42,0.4493,,s7:+0.420;s17:+0.429;s27:+0.449
olmo2_13b,P4_dominant_period,macro_f1,p25,pretrained_minus_random,3,0.8094,0.3689,0.8094,0.4405,0.4226,0.4614,,s7:+0.423;s17:+0.438;s27:+0.461
olmo2_13b,P4b_dominant_period_reg,r2,p25,pretrained_minus_random,3,0.9745,0.7268,0.9745,0.2477,0.219,0.2736,,s7:+0.250;s17:+0.219;s27:+0.274
olmo2_13b,P4b_dominant_period_reg,nmae,p25,pretrained_minus_random,3,0.1222,0.4116,0.1222,-0.2894,-0.3021,-0.277,,s7:-0.302;s17:-0.277;s27:-0.289
olmo2_13b,P5_local_dependence,balanced_accuracy,p25,pretrained_minus_random,3,0.4497,0.3529,0.4497,0.0968,0.0502,0.1369,,s7:+0.103;s17:+0.050;s27:+0.137
olmo2_13b,P5_local_dependence,macro_f1,p25,pretrained_minus_random,3,0.4346,0.3451,0.4346,0.0895,0.0336,0.1404,,s7:+0.094;s17:+0.034;s27:+0.140
olmo2_13b,P5b_local_dependence_reg,r2,p25,pretrained_minus_random,3,0.2921,-0.1148,0.2921,0.4069,0.1996,0.7226,,s7:+0.298;s17:+0.200;s27:+0.723
olmo2_13b,P5b_local_dependence_reg,nmae,p25,pretrained_minus_random,3,0.6744,0.8537,0.6744,-0.1793,-0.3029,-0.1003,,s7:-0.135;s17:-0.100;s27:-0.303
